datetime,data_mean_global
1750-01-15,277.813528671183
1750-02-15,278.196557958315
1750-03-15,278.53847478698503
1750-04-15,278.779124206439
1750-05-15,278.723560314086
1750-06-15,277.992056888667
1750-07-15,276.35355959968996
1750-08-15,274.752161975599
1750-09-15,274.713490580593
1750-10-15,275.751226961025
1750-11-15,276.756349251447
1750-12-15,277.393908805968
1751-01-15,277.854430376474
1751-02-15,278.237404997105
1751-03-15,278.579243356399
1751-04-15,278.819815566946
1751-05-15,278.7642007895
1751-06-15,278.032697866145
1751-07-15,276.394276957826
1751-08-15,274.79303604579496
1751-09-15,274.754580923462
1751-10-15,275.792570725921
1751-11-15,276.797961176469
1751-12-15,277.435781217959
1752-01-15,277.89653319102
1752-02-15,278.27968571853404
1752-03-15,278.621627077789
1752-04-15,278.862204970113
1752-05-15,278.806476145007
1752-06-15,278.074717033296
1752-07-15,276.43587567625804
1752-08-15,274.834047621133
1752-09-15,274.794868697016
1752-10-15,275.832031160763
1752-11-15,276.836523857432
1752-12-15,277.47340885164
1753-01-15,277.933221605774
1753-02-15,278.315463864482
1753-03-15,278.656557026807
1753-04-15,278.896381915845
1753-05-15,278.840028402855
1753-06-15,278.107806040425
1753-07-15,276.468695862632
1753-08-15,274.866810881542
1753-09-15,274.827773646741
1753-10-15,275.86525946476297
1753-11-15,276.870240230347
1753-12-15,277.507761057785
1754-01-15,277.968340459146
1754-02-15,278.351463228753
1754-03-15,278.69353381532903
1754-04-15,278.93441609164796
1754-05-15,278.879182978648
1754-06-15,278.14812707859403
1754-07-15,276.510212488487
1754-08-15,274.909533438312
1754-09-15,274.87168483323995
1754-10-15,275.910312147068
1754-11-15,276.916357441796
1754-12-15,277.554835998978
1755-01-15,278.01623649794396
1755-02-15,278.40001390028
1755-03-15,278.74254282197
1755-04-15,278.98365730305
1755-05-15,278.928400431718
1755-06-15,278.197034977504
1755-07-15,276.558495208404
1755-08-15,274.956864406843
1755-09-15,274.917795948453
1755-10-15,275.955009954337
1755-11-15,276.959523133799
1755-12-15,277.596425415701
1756-01-15,278.05628012668
1756-02-15,278.438616875625
1756-03-15,278.77988492582995
1756-04-15,279.019992964634
1756-05-15,278.964058727544
1756-06-15,278.232419631394
1756-07-15,276.594084591487
1756-08-15,274.993187869257
1756-09-15,274.955324988799
1756-10-15,275.994126422976
1756-11-15,277.00051922162703
1756-12-15,277.639503654146
1757-01-15,278.101553387702
1757-02-15,278.48610837172004
1757-03-15,278.82952821002397
1757-04-15,279.071631930488
1757-05-15,279.01744760915
1757-06-15,278.287223003379
1757-07-15,276.64987736901
1757-08-15,275.049472594755
1757-09-15,275.01163315736596
1757-10-15,276.050055833971
1757-11-15,277.0557340564
1757-12-15,277.693734476035
1758-01-15,278.154597142037
1758-02-15,278.53782838582003
1758-03-15,278.879854193199
1758-04-15,279.120559974036
1758-05-15,279.065040186362
1758-06-15,278.333608969534
1758-07-15,276.695251961377
1758-08-15,275.094090575669
1758-09-15,275.055759063066
1758-10-15,276.093941873828
1758-11-15,277.09962000437804
1758-12-15,277.737847670691
1759-01-15,278.19915248651904
1759-02-15,278.583028347869
1759-03-15,278.925888805146
1759-04-15,279.167606832808
1759-05-15,279.113264453477
1759-06-15,278.3831633711
1759-07-15,276.746276788098
1759-08-15,275.14671260781
1759-09-15,275.110074716694
1759-10-15,276.150004280187
1759-11-15,277.157438702577
1759-12-15,277.797388607712
1760-01-15,278.260338017211
1760-02-15,278.64573723495204
1760-03-15,278.989956219209
1760-04-15,279.232824352309
1760-05-15,279.179380064741
1760-06-15,278.44988146832696
1760-07-15,276.81325817335204
1760-08-15,275.213578235605
1760-09-15,275.176465135963
1760-10-15,276.21562782970403
1760-11-15,277.22207294381
1760-12-15,277.860880324818
1761-01-15,278.32260321704103
1761-02-15,278.706761147048
1761-03-15,279.049793295805
1761-04-15,279.291598268331
1761-05-15,279.23728371780703
1761-06-15,278.507176978744
1761-07-15,276.870276884122
1761-08-15,275.270717777566
1761-09-15,275.234123763159
1761-10-15,276.274138830624
1761-11-15,277.281701721775
1761-12-15,277.92182439797995
1762-01-15,278.384992218383
1762-02-15,278.770656824385
1762-03-15,279.11518951178397
1762-04-15,279.358421000429
1762-05-15,279.30539105833304
1762-06-15,278.57635913483995
1762-07-15,276.940256177759
1762-08-15,275.34115012072203
1762-09-15,275.30464933387003
1762-10-15,276.344445245203
1762-11-15,277.35152808224
1762-12-15,277.990961292057
1763-01-15,278.453281719504
1763-02-15,278.837992491689
1763-03-15,279.181516390117
1763-04-15,279.423735620343
1763-05-15,279.36974143608796
1763-06-15,278.639844772402
1763-07-15,277.00302806280104
1763-08-15,275.403410195504
1763-09-15,275.36661881686797
1763-10-15,276.40631476058104
1763-11-15,277.413453201214
1763-12-15,278.05306253289103
1764-01-15,278.515644547514
1764-02-15,278.90066731923696
1764-03-15,279.244518576617
1764-04-15,279.487045472259
1764-05-15,279.433304206933
1764-06-15,278.703570662738
1764-07-15,277.06679222023996
1764-08-15,275.467052847812
1764-09-15,275.42996079124197
1764-10-15,276.46918787408197
1764-11-15,277.475703837821
1764-12-15,278.114551643507
1765-01-15,278.576247649963
1765-02-15,278.960274498264
1765-03-15,279.30303448388696
1765-04-15,279.544389326361
1765-05-15,279.489409793375
1765-06-15,278.758386333951
1765-07-15,277.120280895505
1765-08-15,275.519192002512
1765-09-15,275.480745014609
1765-10-15,276.518639451799
1765-11-15,277.523875196507
1765-12-15,278.161525350712
1766-01-15,278.622136414174
1766-02-15,279.00522116890096
1766-03-15,279.34721205130796
1766-04-15,279.588000921853
1766-05-15,279.532688689165
1766-06-15,278.80159594319696
1766-07-15,277.163714772371
1766-08-15,275.563173838325
1766-09-15,275.52561293161
1766-10-15,276.564689349383
1766-11-15,277.571347777583
1766-12-15,278.210606121706
1767-01-15,278.67295568502897
1767-02-15,279.057854053075
1767-03-15,279.401678465776
1767-04-15,279.644265587107
1767-05-15,279.59066112921
1767-06-15,278.861130485556
1767-07-15,277.22461054808497
1767-08-15,275.625174781947
1767-09-15,275.588420986257
1767-10-15,276.628022338007
1767-11-15,277.634955508096
1767-12-15,278.274270390983
1768-01-15,278.736490278909
1768-02-15,279.121104746363
1768-03-15,279.464523022236
1768-04-15,279.706613759469
1768-05-15,279.652454659171
1768-06-15,278.922343103772
1768-07-15,277.285247974178
1768-08-15,275.68527472450404
1768-09-15,275.64804829923196
1768-10-15,276.687242103193
1768-11-15,277.693823640809
1768-12-15,278.332833626866
1769-01-15,278.794786173928
1769-02-15,279.179161676808
1769-03-15,279.522360184722
1769-04-15,279.764241170935
1769-05-15,279.709873156878
1769-06-15,278.97954434530897
1769-07-15,277.34221443745497
1769-08-15,275.74197970775697
1769-09-15,275.704458801919
1769-10-15,276.743343866299
1769-11-15,277.74963415337004
1769-12-15,278.38840224289396
1770-01-15,278.850194112411
1770-02-15,279.23452202171296
1770-03-15,279.57781788499403
1770-04-15,279.819973040497
1770-05-15,279.76608787462897
1770-06-15,279.036482455126
1770-07-15,277.400148348193
1770-08-15,275.801213693249
1770-09-15,275.765323316751
1770-10-15,276.806129002033
1770-11-15,277.814546009309
1770-12-15,278.455562138925
1771-01-15,278.919638589003
1771-02-15,279.306202839915
1771-03-15,279.65160202644296
1771-04-15,279.89564270740897
1771-05-15,279.843340489804
1771-06-15,279.114930661948
1771-07-15,277.479320010628
1771-08-15,275.880551895844
1771-09-15,275.844193240114
1771-10-15,276.883925896212
1771-11-15,277.890782148309
1771-12-15,278.529869371768
1772-01-15,278.991768339726
1772-02-15,279.376026107574
1772-03-15,279.71910938510797
1772-04-15,279.960944306166
1772-05-15,279.906666052758
1772-06-15,279.176629488218
1772-07-15,277.53986097435103
1772-08-15,275.940523446172
1772-09-15,275.904298340013
1772-10-15,276.94486883680304
1772-11-15,277.95315552490797
1772-12-15,278.594149055154
1773-01-15,279.058313476153
1773-02-15,279.44507911876303
1773-03-15,279.790795968248
1773-04-15,280.035273433918
1773-05-15,279.983529973249
1773-06-15,279.255803725048
1773-07-15,277.621004326585
1773-08-15,276.023177988348
1773-09-15,275.987892063993
1773-10-15,277.02880792213796
1773-11-15,278.03694030373697
1773-12-15,278.677381536337
1774-01-15,279.14069734526004
1774-02-15,279.52641973807704
1774-03-15,279.87100037676703
1774-04-15,280.11435034735297
1774-05-15,280.061589784025
1774-06-15,279.33305850230204
1774-07-15,277.697767816169
1774-08-15,276.099865612826
1774-09-15,276.06501980977697
1774-10-15,277.106923532435
1774-11-15,278.116513390274
1774-12-15,278.758793560829
1775-01-15,279.224241619419
1775-02-15,279.612301423608
1775-03-15,279.959336485368
1775-04-15,280.20516974071603
1775-05-15,280.154833173835
1775-06-15,279.428578450236
1775-07-15,277.795328733901
1775-08-15,276.199143762021
1775-09-15,276.165603650804
1775-10-15,277.208356536485
1775-11-15,278.21837935180696
1775-12-15,278.860726867455
1776-01-15,279.32592725189096
1776-02-15,279.71347495582404
1776-03-15,280.059784084371
1776-04-15,280.304728166694
1776-05-15,280.253389780123
1776-06-15,279.526071183313
1776-07-15,277.891746133391
1776-08-15,276.294524960695
1776-09-15,276.260038322837
1776-10-15,277.301969361144
1776-11-15,278.31129224951803
1776-12-15,278.953053325418
1777-01-15,279.417772324078
1777-02-15,279.804935262988
1777-03-15,280.150947814037
1777-04-15,280.395675073163
1777-05-15,280.34419118446897
1777-06-15,279.616789973389
1777-07-15,277.98243676382197
1777-08-15,276.385233452882
1777-09-15,276.350802266014
1777-10-15,277.39281891670504
1777-11-15,278.402252441791
1777-12-15,279.04414428145003
1778-01-15,279.509009273635
1778-02-15,279.89632853855096
1778-03-15,280.242502850811
1778-04-15,280.487392409069
1778-05-15,280.436066460148
1778-06-15,279.708813932201
1778-07-15,278.07459525184396
1778-08-15,276.477507418913
1778-09-15,276.443167761569
1778-10-15,277.485248797549
1778-11-15,278.494724290431
1778-12-15,279.136642749633
1779-01-15,279.601526083237
1779-02-15,279.988862481573
1779-03-15,280.335059789379
1779-04-15,280.579985275436
1779-05-15,280.528715256693
1779-06-15,279.801545731427
