datetime,carbon,temp
1752-10-15,277.23937374854887,7.838999999999999
1752-11-15,277.24219579869805,7.335
1752-12-15,277.24497251807213,5.086
1753-01-15,277.2477187344681,2.039
1753-02-15,277.250451378084,0.7149999999999999
1753-03-15,277.2531875535063,5.424
1753-04-15,277.2559431057448,8.272
1753-05-15,277.2587324672829,12.186
1753-06-15,277.26156865807707,14.585
1753-07-15,277.264463285557,15.092
1753-08-15,277.26742654462544,14.148
1753-09-15,277.2704672176585,13.322
1753-10-15,277.2735926745054,8.962
1753-11-15,277.2768088724885,5.353
1753-12-15,277.2801203564036,0.5589999999999997
1754-01-15,277.28353025907126,1.574
1754-02-15,277.287040225014,-1.2489999999999997
1754-03-15,277.2906499643169,3.677
1754-04-15,277.2943567921837,11.61
1754-05-15,277.29815553775677,11.936
1754-06-15,277.30203854411684,14.388
1754-07-15,277.3059956682832,14.681
1754-08-15,277.31001428121334,13.556
1754-09-15,277.31407926780366,11.129
1754-10-15,277.31817302688876,9.582
1754-11-15,277.3222754712418,6.1610000000000005
1754-12-15,277.3263640275743,4.587
1755-01-15,277.3304136366921,1.067
1755-02-15,277.33439754037744,-0.1080000000000001
1755-03-15,277.3382909605334,3.607
1755-04-15,277.34207466563686,9.263
1755-05-15,277.3457356447732,12.880999999999998
1755-06-15,277.3492671076368,15.38
1755-07-15,277.3526684845309,14.397
1755-08-15,277.3559454263676,13.515
1755-09-15,277.3591098046678,11.773
1755-10-15,277.36217971156134,9.97
1755-11-15,277.36517945978676,5.957999999999998
1755-12-15,277.3681395826915,2.564
1756-01-15,277.3710968342321,3.887
1756-02-15,277.3740932027945,5.666
1756-03-15,277.3771703904095,4.192
1756-04-15,277.3803639532839,10.042
1756-05-15,277.38370197647,14.163999999999998
1756-06-15,277.38720507339804,14.547
1756-07-15,277.3908863858758,13.906
1756-08-15,277.394751584089,13.437
1756-09-15,277.39879886660106,12.652
1756-10-15,277.40301896035305,7.3119999999999985
1756-11-15,277.40739512066386,4.225
1756-12-15,277.4119031312302,2.165
1757-01-15,277.41651130412635,-0.27600000000000025
1757-02-15,277.4211812000856,3.7039999999999997
1757-03-15,277.4258725706716,4.529
1757-04-15,277.43054913648666,8.245999999999999
1757-05-15,277.435180146727,13.039
1757-06-15,277.4397403824213,17.115
1757-07-15,277.4442101564306,17.61
1757-08-15,277.4485753134487,17.91
1757-09-15,277.45282723000184,14.852
1757-10-15,277.4569628144486,6.4819999999999975
1757-11-15,277.4609845069803,4.032
1757-12-15,277.46490027962057,1.0210000000000004
1758-01-15,277.46872363622566,-1.5029999999999997
1758-02-15,277.47247332677904,0.8059999999999999
1758-03-15,277.4761709887213,3.765
1758-04-15,277.4798381531195,7.209999999999999
1758-05-15,277.4834953192793,9.715
1758-06-15,277.4871619502224,13.139
1758-07-15,277.49085647268646,13.847
1758-08-15,277.49459627712525,11.818
1758-09-15,277.49839771770843,10.027999999999999
1758-10-15,277.50227611232174,1.8939999999999992
1758-11-15,277.506245742567,6.955
1758-12-15,277.5103198537621,3.2489999999999997
1759-01-15,277.5145106549407,5.0139999999999985
1759-02-15,277.51882927405995,4.082
1759-03-15,277.52328501096696,4.52
1759-04-15,277.52788409679977,5.983
1759-05-15,277.53262914282305,10.189
1759-06-15,277.5375191276239,13.512
1759-07-15,277.5425493971119,12.526
1759-08-15,277.54771166451917,14.587
1759-09-15,277.5529940104003,12.626
1759-10-15,277.55838088263215,8.267000000000001
1759-11-15,277.563853096414,4.268000000000002
1759-12-15,277.5693878342678,0.2469999999999999
1760-01-15,277.57495864603777,-0.8109999999999999
1760-02-15,277.5805356049148,2.436
1760-03-15,277.58608794020915,1.864
1760-04-15,277.5915885222419,7.435999999999999
1760-05-15,277.59701593018985,10.661
1760-06-15,277.6023545117873,11.945
1760-07-15,277.60759438332633,12.887
1760-08-15,277.6127314296566,13.917
1760-09-15,277.6177673041854,11.197
1760-10-15,277.62270942887784,6.7010000000000005
1760-11-15,277.6275709942565,5.436
1760-12-15,277.63237095940167,2.553
1761-01-15,277.6371340519511,0.6000000000000001
1761-02-15,277.6418906458149,2.735
1761-03-15,277.6466739028631,5.976
1761-04-15,277.65151430403455,7.3210000000000015
1761-05-15,277.65643679482145,13.450999999999999
1761-06-15,277.6614606636184,16.820999999999998
1761-07-15,277.6665995417227,19.021
1761-08-15,277.67186140333433,15.331
1761-09-15,277.67724856555583,12.534999999999998
1761-10-15,277.68275768839237,7.2269999999999985
1761-11-15,277.68837977475175,5.089
1761-12-15,277.6941001704443,-0.8370000000000002
1762-01-15,277.6998985641832,6.8660000000000005
1762-02-15,277.7057490490496,4.801
1762-03-15,277.71162229546064,3.5280000000000005
1762-04-15,277.7174902948478,9.019
1762-05-15,277.7233291604746,10.880999999999998
1762-06-15,277.7291192960805,13.499
1762-07-15,277.7348453958805,14.72
1762-08-15,277.7404964445648,13.992
1762-09-15,277.7460657172997,10.325999999999999
1762-10-15,277.75155077972664,6.1560000000000015
1762-11-15,277.75695348796285,6.367000000000001
1762-12-15,277.7622799886011,3.123
1763-01-15,277.7675407187096,1.3690000000000002
1763-02-15,277.77275038370226,0.7709999999999999
1763-03-15,277.7779266152764,1.5760000000000003
1763-04-15,277.78308657354205,7.870999999999999
1763-05-15,277.78824468330674,10.700999999999999
1763-06-15,277.79341244829874,12.270999999999999
1763-07-15,277.79859845116727,16.391
1763-08-15,277.80380835348217,14.126
1763-09-15,277.8090448957342,11.378
1763-10-15,277.8143078973348,5.535
1763-11-15,277.81959425661654,4.588
1763-12-15,277.8248979508324,3.384
